Rapport sur les performances des annonces
Toute la période
État des annonces,URL finale,Titre 1,Position du titre 1,Titre 2,Position du titre 2,Titre 3,Position du titre 3,Titre 4,Position du titre 4,Titre 5,Position du titre 5,Titre 6,Position du titre 6,Titre 7,Position du titre 7,Titre 8,Position du titre 8,Titre 9,Position du titre 9,Titre 10,Position du titre 10,Titre 11,Position du titre 11,Titre 12,Position du titre 12,Titre 13,Position du titre 13,Titre 14,Position du titre 14,Titre 15,Position du titre 15,Description 1,Position de la description 1,Description 2,Position de la description 2,Description 3,Position de la description 3,Description 4,Position de la description 4,Chemin 1,Chemin 2,URL mobile finale,Modèle de suivi,Suffixe de l'URL finale,Paramètre personnalisé,Campagne,Groupe d'annonces,État,Motifs de l'état,Efficacité de l'annonce,Améliorations de l'efficacité de l'annonce,Type d'annonce,Clics,Impr.,CTR,Code de la devise,CPC moy.,Coût,Taux de conv.,Conversions,Coût/conv.
Activée,https://selectchateaux.com/chateaux,Chateau séminaire résidentiel, --,soirée entreprise chateau, --,lieu séminaire haut de gamme, --,lieu séminaire au vert paris, --,organisation séminaire chateau, --,chateau séminaire proche paris, --,privatisation domaine paris, --,Privatisation Château IDF, --,Loc. Château Séminaire IDF, --,Devis Gratuit en 24h, --,500+ Événements Réussis, --,Tout Inclus: Traiteur & Hôtel, --,45min de Paris, --,Lieux d'Exception Vérifiés, --,Séminaire au Vert, --,Organisez votre séminaire résidentiel dans un château proche de Paris. Devis gratuit 24h., --,Privatisation domaine Paris pour soirée entreprise. Lieu haut de gamme et tout inclus., --,"Location château séminaire Île-de-France. 500+ événements réussis, cadre au vert unique.", --,"Expert organisation séminaire château. Hébergement, traiteur et salles équipées inclus.", --,Chateaux,Seminaire,, --, --,,INTENTION_LUXE,Chateaux_General,Éligible,,Bonne,Essayez d'inclure d'autres mots clés dans vos titres,Annonce responsive sur le Réseau de Recherche,15,119,"12,61%",ILS,"23,79","356,80","0,00%","0,00","0,00"
Activée,https://selectchateaux.com/chateaux/abbaye-millenaire-vallee-chevreuse,Séminaire Abbaye Chevreuse, --,Lieu d'Exception Vérifié, --,Devis Gratuit en 24h, --,Monument Historique XIIe, --,147 Chambres · Étang 70ha, --,Privatisation Totale, --,45min de Paris, --,Salles Voûtées, --,Clients CAC40, --,500+ Événements, --,abbaye yvelines, --,lieu séminaire yvelines, --,séminaire au vert 78, --, --, --, --, --,Organisez votre événement au vert à 45min de Paris. Privatisation totale., --,500+ événements réussis. Tout inclus : Traiteur Salles Hôtels., --,Abbaye cistercienne classée MH. Étang privé 70 hectares. Effet Wow garanti., --,Domaine unique avec ruines romantiques. Déconnexion totale pour vos équipes., --,Abbaye,Chevreuse,, --, --,,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,Bonne,Essayez d'inclure d'autres mots clés dans vos titres;Essayez d'inclure d'autres mots clés dans vos descriptions,Annonce responsive sur le Réseau de Recherche,10,68,"14,71%",ILS,"29,03","290,25","0,00%","0,00","0,00"
Activée,https://selectchateaux.com/chateaux/manoir-anglo-normand-chantilly,Séminaire Château Chantilly, --,Lieu d'Exception Vérifié, --,Devis Gratuit en 24h, --,Manoir Anglo-Normand, --,280 Pers · 120 Chambres, --,Privatisation Totale, --,45min de Paris, --,Spa 800m² Inclus, --,Clients CAC40, --,500+ Événements, --,Grand Château Chantilly, --,chateau chantilly entreprise, --,séminaire résidentiel, --, --, --, --, --,Organisez votre événement au vert à 45min de Paris. Privatisation totale., --,500+ événements réussis. Tout inclus : Traiteur Salles Hôtels., --,Manoir d'exception avec spa 800m² et amphithéâtre privé. Devis personnalisé., --,120 chambres premium. Restauration gastronomique. Équipe dédiée., --,Seminaire,Chantilly,, --, --,,SNIPER_GEO_IDF,Chantilly_60,Éligible,,Bonne,Essayez d'inclure d'autres mots clés dans vos titres;Essayez d'inclure d'autres mots clés dans vos descriptions,Annonce responsive sur le Réseau de Recherche,9,91,"9,89%",ILS,"29,88","268,94","0,00%","0,00","0,00"
Activée,https://selectchateaux.com/chateaux/hotel-historique-seminaire-paris-92,Séminaire Château Paris 92, --,Lieu d'Exception Vérifié, --,Devis Gratuit en 24h, --,Hôtel 5 Étoiles Historique, --,83 Chambres · Métro 5min, --,Privatisation Totale, --,Aux Portes de Paris, --,Chef Étoilé, --,Clients CAC40, --,500+ Événements, --,lieu codir proche paris, --,lieu réception 92, --,chateau proche paris, --, --, --, --, --,Organisez votre événement au vert à 45min de Paris. Privatisation totale., --,500+ événements réussis. Tout inclus : Traiteur Salles Hôtels., --,Seul château accessible en métro. Bâtisse XVIIe classée Monument Historique., --,Jardin suspendu vue Paris. Idéal CODIR et événements confidentiels., --,Seminaire,Paris-92,, --, --,,SNIPER_GEO_IDF,Paris_92,Éligible,,Moyenne,Essayez d'inclure d'autres mots clés dans vos titres;Essayez d'inclure d'autres mots clés dans vos descriptions,Annonce responsive sur le Réseau de Recherche,11,116,"9,48%",ILS,"17,23","189,49","0,00%","0,00","0,00"
"Total : Toutes les annonces, sauf celles supprimées",, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --, --, --, --, --,, --, --, --,45,394,"11,42%",ILS,"24,57","1105,48","0,00%","0,00","0,00"
Total : Compte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,394,"11,42%",ILS,"24,57","1105,48","0,00%","0,00","0,00"
Total : Rechercher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,394,"11,42%",ILS,"24,57","1105,48","0,00%","0,00","0,00"
